GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;25 t/m 29 jaar;ZUIDPLAS;1089;1082.21;1095152.18;127170.52;229733.69;62020.34;48745.21;55368.11;49382.18;10487.81;5866.87;3994.01;4736.12;15886.40;258719.77;205276.47;26522.05;14696.10;13.95;0.00;975.24
V;25 t/m 29 jaar;ZUNDERT;475;445.02;447637.39;62441.15;132270.77;23434.44;16681.25;16047.76;15828.81;1168.94;11639.42;1941.22;135.26;8976.95;101716.99;85451.49;5146.12;1586.35;1.80;0.00;2587.71
V;25 t/m 29 jaar;ZUTPHEN;1130;1118.08;1242203.83;117665.72;677101.66;64337.75;44481.95;67821.68;25052.44;2840.02;11144.82;2557.31;30448.64;12249.72;198758.12;153000.51;24614.06;11521.09;41.40;0.00;3272.61
V;25 t/m 29 jaar;ZWARTEWATERLAND;629;625.19;755498.01;60352.99;134312.20;35490.95;26629.01;35455.89;47112.68;6342.77;2253.75;3592.80;5239.94;7718.76;220543.87;173607.46;14709.22;131.20;12.60;0.00;314.20
V;25 t/m 29 jaar;ZWIJNDRECHT;1342;1330.59;1479587.04;156826.00;471411.59;75920.12;53733.74;52468.37;49073.36;14253.61;6487.43;3071.23;1167.17;19245.95;290195.33;196374.95;24091.92;7934.04;12.60;0.00;3127.92
V;25 t/m 29 jaar;ZWOLLE;4751;4693.06;4385700.91;438075.84;2066080.63;268753.98;173694.75;250905.66;144446.13;36814.83;26018.92;13625.62;80398.63;53694.01;866597.27;609257.02;188069.26;49425.95;259.65;0.00;17410.67
V;30 t/m 34 jaar;AA EN HUNZE;406;403.51;510780.02;54857.54;80847.06;23190.50;16491.59;22598.71;33889.40;2733.75;6568.81;1053.70;933.92;8283.10;138414.76;86331.32;15775.76;131.11;27.00;0.00;111.67
V;30 t/m 34 jaar;AALBURG;361;358.14;349437.17;35590.14;38396.42;20416.69;13848.34;14891.17;9253.32;934.77;1840.08;1156.18;7094.76;3096.69;97589.45;61618.22;2444.27;276.87;5.40;0.00;1810.62
V;30 t/m 34 jaar;AALSMEER;861;836.71;881441.64;84848.41;118773.50;46853.87;32787.19;40739.81;30319.16;3501.98;6429.45;1949.61;491.32;14862.38;200054.91;149830.81;12153.48;7122.07;16.20;0.00;15299.86
V;30 t/m 34 jaar;AALTEN;646;642.00;730397.40;80487.98;111368.69;37313.94;27686.97;34479.04;24243.50;1726.04;7596.77;3393.98;2523.51;6536.83;194625.49;134027.57;10239.07;248.79;3.60;0.00;918.48
V;30 t/m 34 jaar;ACHTKARSPELEN;778;775.08;815231.47;79382.24;96136.57;45154.22;32008.97;35897.53;59631.68;2855.58;2655.94;1732.50;425.12;15112.79;206556.18;151759.77;12226.35;889.87;1039.05;0.00;1525.68
